model_name,image_stem,score,pred_box,best_iou,matched_gt_index,is_tp,is_fp,iou_threshold,cum_tp,cum_fp,precision_curve,recall_curve
RetinaNet,Cars12,0.692543625831604,"[119.16291809082031, 82.21822357177734, 272.11724853515625, 116.67524719238281]",0.9365961974309948,0,1,0,0.5,45,5,0.9,0.6338028169014085
FasterRCNN,Cars300,0.875166118144989,"[259.3631896972656, 184.1176300048828, 319.2998962402344, 215.31997680664062]",0.9192172728533231,0,1,0,0.5,44,1,0.9777777777777777,0.6197183098591549
FasterRCNN,Cars51,0.8815083503723145,"[262.4636535644531, 141.6817169189453, 317.981689453125, 162.52561950683594]",0.9183001852046941,0,1,0,0.5,43,1,0.9772727272727273,0.6056338028169014
FasterRCNN,Cars304,0.9718313217163086,"[139.95391845703125, 113.17648315429688, 220.02401733398438, 155.2074432373047]",0.9044019718302002,0,1,0,0.5,12,0,1.0,0.16901408450704225
RetinaNet,Cars211,0.23605696856975555,"[5.031999588012695, 70.0040512084961, 388.8815002441406, 236.69366455078125]",0.8955893663315554,0,1,0,0.5,64,48,0.5714285714285714,0.9014084507042254
RetinaNet,Cars167,0.8896897435188293,"[176.79188537597656, 255.70228576660156, 325.19281005859375, 283.9180603027344]",0.8945197675279541,0,1,0,0.5,23,2,0.92,0.323943661971831
FasterRCNN,Cars313,0.8480982184410095,"[177.37924194335938, 209.68402099609375, 253.1834259033203, 247.903076171875]",0.886702333286605,0,1,0,0.5,45,2,0.9574468085106383,0.6338028169014085
FasterRCNN,Cars96,0.9800517559051514,"[135.198486328125, 123.33985137939453, 257.4595642089844, 160.1310272216797]",0.8857134669107943,0,1,0,0.5,5,0,1.0,0.07042253521126761
FasterRCNN,Cars83,0.947507381439209,"[249.7933807373047, 295.8461608886719, 328.1102294921875, 338.21148681640625]",0.8849414554225434,0,1,0,0.5,28,0,1.0,0.39436619718309857
RetinaNet,Cars102,0.5711405873298645,"[50.831172943115234, 145.26913452148438, 324.79693603515625, 200.2186737060547]",0.8842660695037291,0,1,0,0.5,51,10,0.8360655737704918,0.7183098591549296
RetinaNet,Cars282,0.5711405873298645,"[50.831172943115234, 145.26913452148438, 324.79693603515625, 200.2186737060547]",0.8837277901608487,0,1,0,0.5,50,10,0.8333333333333334,0.704225352112676
FasterRCNN,Cars254,0.941409170627594,"[163.78797912597656, 174.91986083984375, 233.49655151367188, 209.306396484375]",0.8833374632088334,0,1,0,0.5,32,0,1.0,0.4507042253521127
FasterRCNN,Cars345,0.9393875002861023,"[171.5375213623047, 144.69265747070312, 245.9290313720703, 184.1280975341797]",0.8779926909099557,0,1,0,0.5,35,0,1.0,0.49295774647887325
FasterRCNN,Cars286,0.941288411617279,"[206.2778778076172, 192.5081787109375, 285.3209228515625, 230.27554321289062]",0.8678356774232696,0,1,0,0.5,33,0,1.0,0.4647887323943662
RetinaNet,Cars120,0.9277395606040955,"[161.2022705078125, 179.391357421875, 249.22189331054688, 199.12191772460938]",0.8674707669996424,0,1,0,0.5,18,0,1.0,0.2535211267605634
FasterRCNN,Cars260,0.1854749619960785,"[177.38804626464844, 111.7370834350586, 231.91140747070312, 129.0465545654297]",0.8655524874515242,0,1,0,0.5,61,20,0.7530864197530864,0.8591549295774648
RetinaNet,Cars161,0.8402513265609741,"[310.5622863769531, 285.8321228027344, 407.4181823730469, 310.6957702636719]",0.8646599895040943,0,1,0,0.5,31,3,0.9117647058823529,0.43661971830985913
RetinaNet,Cars254,0.9875890612602234,"[166.8808135986328, 176.05335998535156, 232.40798950195312, 205.16419982910156]",0.8639271391009021,0,1,0,0.5,3,0,1.0,0.04225352112676056
RetinaNet,Cars92,0.9521933197975159,"[278.0657653808594, 190.0103759765625, 392.9609069824219, 266.0494384765625]",0.8638560941553723,0,1,0,0.5,11,0,1.0,0.15492957746478872
RetinaNet,Cars313,0.9784246683120728,"[178.04202270507812, 210.7074432373047, 247.1861114501953, 244.3911590576172]",0.8614195409927763,0,1,0,0.5,6,0,1.0,0.08450704225352113
