model_name,image_stem,score,pred_box,best_iou,matched_gt_index,is_tp,is_fp,iou_threshold,cum_tp,cum_fp,precision_curve,recall_curve
RetinaNet,Cars405,0.914592444896698,"[245.8546905517578, 213.25523376464844, 293.5964660644531, 226.95811462402344]",0.4511723185279246,-1,0,1,0.5,18,1,0.9473684210526315,0.2535211267605634
FasterRCNN,Cars236,0.9017546772956848,"[225.2066650390625, 108.62278747558594, 245.54795837402344, 116.66938018798828]",0.4663193809399859,-1,0,1,0.5,42,1,0.9767441860465116,0.5915492957746479
RetinaNet,Cars202,0.8899809718132019,"[198.26951599121094, 140.156494140625, 244.68295288085938, 151.52354431152344]",0.4227434821542164,-1,0,1,0.5,22,2,0.9166666666666666,0.30985915492957744
RetinaNet,Cars106,0.857401967048645,"[138.9857940673828, 79.16390991210938, 164.80592346191406, 86.1729965209961]",0.35695369463300064,-1,0,1,0.5,29,3,0.90625,0.4084507042253521
FasterRCNN,Cars14,0.8549252152442932,"[158.13888549804688, 114.4157943725586, 278.739501953125, 155.051513671875]",0.4929831353713801,-1,0,1,0.5,44,2,0.9565217391304348,0.6197183098591549
RetinaNet,Cars236,0.7816354632377625,"[224.7100372314453, 109.92159271240234, 245.84288024902344, 115.03887176513672]",0.30809873190477616,-1,0,1,0.5,40,4,0.9090909090909091,0.5633802816901409
RetinaNet,Cars106,0.7809635996818542,"[229.88526916503906, 200.07791137695312, 275.9267578125, 210.96775817871094]",0.4036914314780363,-1,0,1,0.5,40,5,0.8888888888888888,0.5633802816901409
FasterRCNN,Cars102,0.7292097210884094,"[164.44493103027344, 141.41668701171875, 317.11846923828125, 202.5429229736328]",0.0,-1,0,1,0.5,51,4,0.9272727272727272,0.7183098591549296
FasterRCNN,Cars282,0.7292097210884094,"[164.44493103027344, 141.41668701171875, 317.11846923828125, 202.5429229736328]",0.0,-1,0,1,0.5,51,3,0.9444444444444444,0.7183098591549296
FasterRCNN,Cars106,0.7266389727592468,"[139.07395935058594, 78.5970230102539, 165.02798461914062, 87.87715911865234]",0.445248933240985,-1,0,1,0.5,51,5,0.9107142857142857,0.7183098591549296
RetinaNet,Cars80,0.6899861693382263,"[169.33935546875, 31.840085983276367, 208.6825714111328, 47.881874084472656]",0.0,-1,0,1,0.5,45,6,0.8823529411764706,0.6338028169014085
RetinaNet,Cars17,0.6642774343490601,"[202.40145874023438, 13.971273422241211, 249.32638549804688, 25.914474487304688]",0.0,-1,0,1,0.5,47,7,0.8703703703703703,0.6619718309859155
RetinaNet,Cars128,0.6598798632621765,"[170.03924560546875, 68.01595306396484, 310.89617919921875, 130.32249450683594]",0.0,-1,0,1,0.5,47,8,0.8545454545454545,0.6619718309859155
FasterRCNN,Cars128,0.606876790523529,"[185.26785278320312, 68.03546905517578, 304.8107604980469, 150.57769775390625]",0.0,-1,0,1,0.5,56,6,0.9032258064516129,0.7887323943661971
RetinaNet,Cars274,0.5952802300453186,"[349.64739990234375, 53.130035400390625, 369.7735900878906, 59.97901916503906]",0.0,-1,0,1,0.5,47,9,0.8392857142857143,0.6619718309859155
RetinaNet,Cars277,0.5834125876426697,"[289.6973876953125, 219.12298583984375, 307.8187255859375, 225.0262451171875]",0.49918872234627953,-1,0,1,0.5,47,10,0.8245614035087719,0.6619718309859155
FasterRCNN,Cars247,0.46073752641677856,"[65.01766204833984, 28.44236946105957, 299.5599060058594, 169.43338012695312]",0.0,-1,0,1,0.5,58,7,0.8923076923076924,0.8169014084507042
FasterRCNN,Cars83,0.38592496514320374,"[273.3673400878906, 366.73388671875, 446.1709899902344, 407.8679504394531]",0.0,-1,0,1,0.5,59,8,0.8805970149253731,0.8309859154929577
FasterRCNN,Cars211,0.34671327471733093,"[15.575034141540527, 35.65906524658203, 286.89544677734375, 251.54971313476562]",0.0,-1,0,1,0.5,59,9,0.8676470588235294,0.8309859154929577
FasterRCNN,Cars277,0.31547847390174866,"[86.9924545288086, 109.01183319091797, 183.43853759765625, 138.6251983642578]",0.0,-1,0,1,0.5,59,10,0.855072463768116,0.8309859154929577
